CELLCODE	EOFORIGIN	NOFORIGIN	geometry	natura2000	spa	habitat
1kmE3773N3201	3773000	3201000	list(c(3773000, 3773000, 3774000, 3774000, 3773000, 3201000, 3202000, 3202000, 3201000, 3201000))	FALSE	FALSE	FALSE
1kmE3773N3202	3773000	3202000	list(c(3773000, 3773000, 3774000, 3774000, 3773000, 3202000, 3203000, 3203000, 3202000, 3202000))	FALSE	FALSE	FALSE
1kmE3773N3203	3773000	3203000	list(c(3773000, 3773000, 3774000, 3774000, 3773000, 3203000, 3204000, 3204000, 3203000, 3203000))	FALSE	FALSE	FALSE
1kmE3773N3204	3773000	3204000	list(c(3773000, 3773000, 3774000, 3774000, 3773000, 3204000, 3205000, 3205000, 3204000, 3204000))	FALSE	FALSE	FALSE
1kmE3774N3159	3774000	3159000	list(c(3774000, 3774000, 3775000, 3775000, 3774000, 3159000, 3160000, 3160000, 3159000, 3159000))	FALSE	FALSE	FALSE
1kmE3774N3160	3774000	3160000	list(c(3774000, 3774000, 3775000, 3775000, 3774000, 3160000, 3161000, 3161000, 3160000, 3160000))	FALSE	FALSE	FALSE
1kmE3774N3161	3774000	3161000	list(c(3774000, 3774000, 3775000, 3775000, 3774000, 3161000, 3162000, 3162000, 3161000, 3161000))	FALSE	FALSE	FALSE
1kmE3774N3162	3774000	3162000	list(c(3774000, 3774000, 3775000, 3775000, 3774000, 3162000, 3163000, 3163000, 3162000, 3162000))	FALSE	FALSE	FALSE
1kmE3774N3163	3774000	3163000	list(c(3774000, 3774000, 3775000, 3775000, 3774000, 3163000, 3164000, 3164000, 3163000, 3163000))	FALSE	FALSE	FALSE
1kmE3774N3164	3774000	3164000	list(c(3774000, 3774000, 3775000, 3775000, 3774000, 3164000, 3165000, 3165000, 3164000, 3164000))	FALSE	FALSE	FALSE
1kmE3774N3165	3774000	3165000	list(c(3774000, 3774000, 3775000, 3775000, 3774000, 3165000, 3166000, 3166000, 3165000, 3165000))	FALSE	FALSE	FALSE
1kmE3774N3166	3774000	3166000	list(c(3774000, 3774000, 3775000, 3775000, 3774000, 3166000, 3167000, 3167000, 3166000, 3166000))	FALSE	FALSE	FALSE
1kmE3774N3167	3774000	3167000	list(c(3774000, 3774000, 3775000, 3775000, 3774000, 3167000, 3168000, 3168000, 3167000, 3167000))	FALSE	FALSE	FALSE
1kmE3774N3168	3774000	3168000	list(c(3774000, 3774000, 3775000, 3775000, 3774000, 3168000, 3169000, 3169000, 3168000, 3168000))	FALSE	FALSE	FALSE
1kmE3774N3169	3774000	3169000	list(c(3774000, 3774000, 3775000, 3775000, 3774000, 3169000, 3170000, 3170000, 3169000, 3169000))	FALSE	FALSE	FALSE
1kmE3774N3170	3774000	3170000	list(c(3774000, 3774000, 3775000, 3775000, 3774000, 3170000, 3171000, 3171000, 3170000, 3170000))	FALSE	FALSE	FALSE
