"soort";"buffer";"percentage";"aantal";"rang_percentage";"rang_aantal"
"moerasanemoon";100;5,66740172497654e-05;6;59;40
"moerasanemoon";125;9,193327262819e-05;6;59;43
"moerasanemoon";150;0,000134015272816739;6;59;42
"moerasanemoon";200;0,000251816480247479;7;57;48
"moerasanemoon";300;0,000584686003986793;10;56;45
"moerasanemoon";400;0,00103298046474548;15;55;44
"moerasanemoon";500;0,00152648145848001;19;54;45
"Kaapse waterlelie";50;1,28129545116503e-05;3;59;42
"Kaapse waterlelie";75;3,27763738190737e-05;3;59;43
"Kaapse waterlelie";100;6,04301326383171e-05;4;58;41
"Kaapse waterlelie";125;9,67500555739596e-05;4;58;44
"Kaapse waterlelie";150;0,000143383642921261;4;57;44
"Kaapse waterlelie";200;0,000259959943213699;5;56;50
"Kaapse waterlelie";300;0,000548246312550376;6;57;48
"Kaapse waterlelie";400;0,000930495667117156;8;57;48
"Kaapse waterlelie";500;0,0012744064354276;9;57;51
"egeria";50;1,7966987121176e-05;2;55;43
"egeria";75;3,99497326379808e-05;2;55;44
"egeria";100;6,8533378885533e-05;3;56;42
"egeria";125;0,000105053797283122;4;56;44
"egeria";150;0,000148750049323098;5;56;43
"egeria";200;0,000240737434715689;5;58;50
"egeria";300;0,000460770859599183;6;58;48
"egeria";400;0,000592410439262229;8;59;48
"egeria";500;0,000730800970440649;13;60;48
"moerashyacint";50;0,000157184585946566;29;40;28
"moerashyacint";75;0,0003400263386015;38;40;24
"moerashyacint";100;0,000590310252418773;41;38;23
"moerashyacint";125;0,000896856585348882;42;38;26
"moerashyacint";150;0,00124522803615854;46;37;25
"moerashyacint";200;0,00203736221815141;53;37;25
"moerashyacint";300;0,00409445343217277;61;35;27
"moerashyacint";400;0,0067095578783115;75;35;27
"moerashyacint";500;0,00997421071189191;99;35;26
"Japans hoefblad";50;6,15138436875457e-05;8;47;39
"Japans hoefblad";75;0,00013017350769788;10;48;37
"Japans hoefblad";100;0,000225993259678032;13;48;37
"Japans hoefblad";125;0,000354395101230764;14;48;38
"Japans hoefblad";150;0,000510059690910357;16;47;37
"Japans hoefblad";200;0,000888976668337909;18;46;40
"Japans hoefblad";300;0,00189929235033547;27;46;38
"Japans hoefblad";400;0,00324906112756;31;45;37
